rol,exp,rutina,estructuracion,creatividad,resolucion,interaccion,automatizacion,automatizacion_cat
frontend,1.0,1.0,4.0,2.0,1.0,1.0,5.0,alta
qa,5.0,3.0,1.0,5.0,4.0,2.0,3.0,media
soporte_ti,3.0,5.0,1.0,1.0,5.0,5.0,3.0,media
devops,1.0,3.0,3.0,1.0,3.0,4.0,2.0,media
data_scientist,2.0,5.0,5.0,1.0,1.0,1.0,4.0,alta
sysadmin,2.0,1.0,1.0,1.0,3.0,5.0,4.0,alta
soporte_ti,5.0,1.0,5.0,1.0,2.0,3.0,5.0,alta
ciberseguridad,3.0,2.0,3.0,3.0,5.0,5.0,4.0,alta
ml_engineer,5.0,4.0,4.0,5.0,2.0,5.0,5.0,alta
backend,1.0,5.0,2.0,5.0,3.0,2.0,2.0,media
data_analyst,1.0,5.0,2.0,5.0,5.0,4.0,4.0,alta
devops,1.0,1.0,2.0,3.0,2.0,5.0,3.0,media
devops,5.0,1.0,3.0,1.0,4.0,4.0,4.0,alta
ml_engineer,1.0,3.0,1.0,4.0,3.0,4.0,3.0,media
data_scientist,3.0,1.0,4.0,2.0,5.0,3.0,3.0,media
qa,5.0,4.0,2.0,3.0,2.0,5.0,3.0,media
soporte_ti,2.0,1.0,4.0,5.0,3.0,4.0,1.0,baja
data_analyst,2.0,4.0,5.0,3.0,2.0,3.0,1.0,baja
devops,4.0,1.0,1.0,3.0,3.0,1.0,4.0,alta
frontend,1.0,1.0,1.0,4.0,3.0,3.0,4.0,alta
devops,3.0,2.0,5.0,2.0,1.0,3.0,1.0,baja
devops,3.0,2.0,2.0,2.0,4.0,4.0,3.0,media
frontend,1.0,3.0,1.0,5.0,1.0,1.0,3.0,media
backend,1.0,5.0,3.0,1.0,5.0,4.0,4.0,alta
ciberseguridad,4.0,3.0,2.0,1.0,4.0,2.0,1.0,baja
devops,4.0,3.0,1.0,3.0,1.0,4.0,2.0,media
ciberseguridad,5.0,4.0,4.0,2.0,5.0,4.0,2.0,media
ciberseguridad,5.0,4.0,1.0,5.0,5.0,4.0,6.0,alta
backend,5.0,5.0,5.0,2.0,1.0,5.0,2.0,media
data_scientist,1.0,1.0,3.0,4.0,1.0,1.0,3.0,media
sysadmin,5.0,3.0,2.0,2.0,3.0,5.0,5.0,alta
ciberseguridad,2.0,3.0,1.0,1.0,1.0,1.0,1.0,baja
data_scientist,5.0,3.0,4.0,3.0,3.0,5.0,4.0,alta
frontend,3.0,1.0,5.0,4.0,4.0,5.0,5.0,alta
ml_engineer,1.0,1.0,2.0,1.0,1.0,4.0,4.0,alta
data_scientist,5.0,3.0,3.0,2.0,5.0,3.0,2.0,media
data_analyst,1.0,5.0,3.0,1.0,4.0,5.0,5.0,alta
ciberseguridad,1.0,3.0,3.0,5.0,4.0,1.0,2.0,media
